Chunk_table $fffF0000
Level_layout_header $fffF8000
Level_layout_main $fffF8008
Block_table $fffF9000
Nemdec_buffer $fffFAA00
Sprite_table_input $fffFAC00
Object_RAM $fffFB000
Obj_player_2 $fffFB04A
Object_RAM_misc $fffFB094
Object_RAM_free $fffFB0DE
Object_RAM_static $fffFCAE2
Obj_super_stars $fffFCBC0
Obj_tails_tails $fffFCC0A
Obj_dust $fffFCC54
Obj_dust_2 $fffFCC9E
Obj_shield $fffFCCE8
Obj_shield_2 $fffFCD32
Obj_invis_stars $fffFCEA4
Kos_decomp_buffer $fffFD000
Horiz_Scroll_Buffer $fffFE000
Coll_response_list $fffFE380
Position_table_P2 $fffFE400
Position_table $fffFE500
Current_Save_Slot $fffFE6AC
Ring_Status_Table $FFFFE700
Object_respawn_table $fffFEB00
Camera_X_Pos_Diff $FFFFEE00
Camera_Y_Pos_Diff $FFFFEE02
Camera_X_Pos_Diff_P2 $FFFFEE04
Camera_Y_Pos_Diff_P2 $FFFFEE06
Screen_Shaking_Flag_HTZ $FFFFEE08
Screen_Shaking_Flag $FFFFEE09
Scroll_Lock $FFFFEE0A
Scroll_Lock_P2 $FFFFEE0B
Camera_target_min_X $fffFEE0C
Camera_target_max_X $fffFEE0E
Camera_target_min_Y $fffFEE10
Camera_target_max_Y $fffFEE12
Camera_min_X $fffFEE14
Camera_max_X $fffFEE16
Camera_min_Y $fffFEE18
Camera_max_Y $fffFEE1A
Camera_min_X_P2 $fffFEE1C
Camera_max_X_P2 $fffFEE1E
Camera_min_Y_P2 $fffFEE20
Camera_max_Y_P2 $fffFEE22
Horiz_Scroll_Delay_Val $FFFFEE24
Sonic_Pos_Record_Index $FFFFEE26
Horiz_Scroll_Delay_Val_P2 $FFFFEE28
Tails_Pos_Record_Index $FFFFEE2A
Distance_from_screen_top $fffFEE2C
Distance_from_screen_top_P2 $fffFEE2E
Deform_Lock $FFFFEE30
Max_X_Pos_Change_Flag $FFFFEE31
Max_Y_Pos_Change_Flag $FFFFEE32
Dynamic_Resize_Routine $FFFFEE33
Fast_V_scroll_flag $fffFEE39
V_scroll_value_P2_copy $fffFEE3A
Camera_X_Pos_Relative_To_BG $FFFFEE3E
Camera_Y_Pos_Relative_To_BG $FFFFEE40
